"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","Không tìm thấy","0314209228","Không tồn tại / Lỗi tra cứu"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"12","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động"
"13","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI AHUTI","0316870070","Đang hoạt động"
"14","CÔNG TY TNHH YUNCHENG PLATE MAKING (BẮC NINH)","2300998287","Đang hoạt động"
"15","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động"
"16","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu"
"17","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu"
"18","CHI NHÁNH TẠI HÀ NỘI - CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ VẬN TẢI HỒNG PHÁT","0103971652-001","Đang hoạt động"
"19","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TRAN DUONG FORKLIFTS","0108431890","Đang hoạt động"
"20","CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TÂN KHẢI PHÚ","0311072367","Đang hoạt động"
