"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động","Địa chỉ","Địa chỉ Thuế","Người đại diện","Điện thoại","Quản lý bởi","Loại hình DN","Ngành nghề chính"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động","Lô CN - 3.1, khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Thành phố Hà Nội, Việt Nam","Lô CN - 3.1, khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, TP Hà Nội, Việt Nam","NGUYỄN THỊ THẢO Ngoài ra, NGUYỄN THỊ THẢO còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CỔ PHẦN HT ALUMINIUM","024 33654595 Ẩn số điện thoại","Thuế cơ sở 21 thành phố Hà Nội","Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN","Sản xuất sản phẩm từ plastic"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động","Không tìm thấy","Tầng 2, tòa nhà SIMCO, đường Phạm Hùng, Phường Từ Liêm, TP Hà Nội, Việt Nam","Phạm Quang Trình","0437931111 Ẩn số điện thoại","Thuế thành phố Hà Nội","Công ty cổ phần ngoài NN","Không tìm thấy"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động","Lô D1 Khu công nghiệp Tràng Duệ, Phường Hồng Phong, Quận An Dương, Thành phố Hải Phòng, Việt Nam","Lô D1 Khu công nghiệp Tràng Duệ, Phường An Phong, TP Hải Phòng, Việt Nam","PHÙNG QUYẾT LẬP","02252643170 - 0225 Ẩn số điện thoại","Thuế cơ sở 2 thành phố Hải Phòng","Công ty cổ phần ngoài NN","Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít Chi tiết: Sản xuất mực in; Sản xuất sơn, véc ni và các chất sơn, quét tương tự, ma tít"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động","Tổ dân phố Lường, Phường Thượng Hồng, Tỉnh Hưng Yên, Việt Nam","Tổ dân phố Lường, Phường Thượng Hồng, Tỉnh Hưng Yên, Việt Nam","LÊ CHÍ DŨNG Ngoài ra, LÊ CHÍ DŨNG còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CỔ PHẦN NHỰA VÀ HOÁ CHẤT THIÊN HÀ CÔNG TY CỔ PHẦN SMART THINK CHI NHÁNH TẠI LONG AN - CÔNG TY CỔ PHẦN SMART THINK Công ty cổ phần Bao bì Nhựa Thiên Hà (Nộp thay nhà thầu) CHI NHÁNH TẠI LONG AN - CÔNG TY CỔ PHẦN SMART THINK (Nộp hộ NTNN) Lê Chí Dũng","0221 3949130 Ẩn số điện thoại","Thuế tỉnh Hưng Yên","Công ty cổ phần ngoài NN","Sản xuất sản phẩm từ plastic"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động","Không tìm thấy","Lô H1-1, KCN Đại Đồng - Hoàn Sơn, Xã Đại Đồng, Tỉnh Bắc Ninh, Việt Nam","Liang Kou Dong","0274 3790995 Ẩn số điện thoại","Thuế tỉnh Bắc Ninh","Doanh nghiệp nhà nước liên doanh với nước ngoài","Không tìm thấy"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động","Tầng 26- 27 - 28, Saigon Trade Centre, 37 Tôn Đức Thắng, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam","Tầng 26- 27 - 28, Saigon Trade Centre, 37 Tôn Đức Thắng, Phường Sài Gòn, TP Hồ Chí Minh, Việt Nam","KUO, YU-CHEN","(028) 9999 6011 Ẩn số điện thoại","Thuế Thành phố Hồ Chí Minh","Công ty trách nhiệm hữu hạn ngoài NN","Bán buôn tổng hợp chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn các hàng hóa không thuộc danh mục cấm xuất khẩu, nhập khẩu hoặc không được phân phối theo quy định của pháp luật Việt Nam hoặc không thuộc diện hạn chế theo cam kết quốc tế trong các điều ước quốc tế mà Việt Nam là thành viên (chi tiết hàng hóa và nội dung hoạt động theo quy định tại Giấy phép kinh doanh và Giấy phép lập cơ sở bán lẻ) (CPC 622) (Tổ chức kinh tế thực hiện dự án đầu tư chỉ được thực hiện mục tiêu dự án nêu trên khi đáp ứng đủ điều kiện và được cơ quan có thẩm quyền cấp Giấy phép kinh doanh và Giấy phép lập cơ sở bán lẻ (nếu có) theo quy định tại Nghị định số 23/2007/NĐ-CP ngày 12 tháng 02 năm 2007 của chính phủ, Thông tư số 08/2013/TT-BCT ngày 22 tháng 4 năm 2013 và Thông tư 34/2013/TT-BCT ngày 24 tháng 12 năm 2013 của Bộ Công Thương và các văn bản hướng dẫn, điều chỉnh có liên quan.)"
"7","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ KIM CHÂU PHÚ","0314209228","Đang hoạt động","87/35A Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam","87/35A Nguyễn Sĩ Sách, Phường Tân Sơn, TP Hồ Chí Minh, Việt Nam","VÕ NGUYÊN GIÁC Ngoài ra, VÕ NGUYÊN GIÁC còn đại diện các doanh nghiệp, đơn vị: CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ KIM CHÂU PHÚ","0916 224 335 Ẩn số điện thoại","Thuế cơ sở 16 Thành phố Hồ Chí Minh","Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN","Sản xuất sản phẩm từ plastic chi tiết: sản xuất bao bì nhựa ( không hoạt động tại trụ sở)"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động","Tầng 6, Tòa Sky City Tower A, số 88 Láng Hạ, Phường Láng, Thành phố Hà Nội, Việt Nam","Tầng 6, Tòa Sky City Tower A, số 88 Láng Hạ, Phường Láng, TP Hà Nội, Việt Nam","NGUYỄN MINH QUÝ Ngoài ra, NGUYỄN MINH QUÝ còn đại diện các doanh nghiệp, đơn vị: CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI HOÀNG PHONG CÔNG TY CỔ PHẦN NOVAON COMMERCE CÔNG TY CỔ PHẦN TẬP ĐOÀN NOVAON Công Ty Cổ Phần Novaon Digial CÔNG TY CỔ PHẦN NOVAON MARTECH CÔNG TY CỔ PHẦN NOVAON TECH CÔNG TY CỔ PHẦN INTERNET NOVAON CÔNG TY CỔ PHẦN ONFLUENCER CÔNG TY CỔ PHẦN NOVAON TECH CÔNG TY TNHH MTV AVA CÔNG TY TNHH MTV NOVAON JUTECH CÔNG TY TNHH MTV NOVAON TASECO ĐỒNG VĂN 3 HỘ KINH DOANH PHONG VÂN","024 2231 9999 Ẩn số điện thoại","Chi cục Thuế Thương mại điện tử","Công ty cổ phần ngoài NN","Quảng cáo Chi tiết: Tư vấn, thiết kế, thi công các loại biển quảng cáo (không bao gồm dịch vụ thiết kế công trình); tư vấn, dịch vụ quảng cáo truyền hình; tư vấn và quảng cáo trực tuyến trên mạng internet; quảng cáo thương mại, phi thương mại và các dịch vụ liên quan đến quảng cáo như thiết kế và sản xuất các chương trình quảng cáo, quà tặng khuyến mại (không bao gồm dịch vụ thiết kế công trình)"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động","Số 16 Phan Đình Phùng, Phường Quán Thánh, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","Số 16 Phan Đình Phùng, Phường Ba Đình, TP Hà Nội, Việt Nam","HOÀNG MẠNH HẢI Ngoài ra, HOÀNG MẠNH HẢI còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","024 38233045 Ẩn số điện thoại","Chi cục Thuế Doanh nghiệp lớn","Công ty trách nhiệm hữu hạn ngoài NN","Hoạt động cho thuê tài chính Chi tiết: - Cho thuê tài chính; - Cho thuê tài chính hợp vốn theo quy định của Ngân hàng nhà nước; - Thực hiện kinh doanh khác có liên quan đến hoạt động cho thuê tài chính theo quy định của pháp luật và được sự chấp thuận của Ngân hàng công thương và Ngân hàng nhà nước; - Tư vấn, nhận bảo lãnh cho khách hàng về những dịch vụ có liên quan đến nghiệp vụ cho thuê tài chính; - Cho thuê tài chính đối với các doanh nghiệp thành lập theo pháp luật Việt Nam, trực tiếp sử dụng tài sản thuê theo mục đích kinh doanh hợp pháp; - Thực hiện mua và cho thuê lại;"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST","Thôn Yên Vĩnh, Xã Kim Chung, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam","Thôn Yên Vĩnh, Xã Sơn Đồng, TP Hà Nội, Việt Nam","NGUYỄN HỮU BÌNH","02422452492 Ẩn số điện thoại","Thuế thành phố Hà Nội","Công ty trách nhiệm hữu hạn ngoài NN","Truyền tải và phân phối điện Chi tiết: - Truyền tải, phân phối và kinh doanh mua bán điện năng. - Đầu tư phát triển lưới điện có tính chất phân phối."
