"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","Không tìm thấy","0107759343","Không tồn tại / Lỗi tra cứu"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ KIM CHÂU PHÚ","0314209228","Đang hoạt động"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
