"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","Không tìm thấy","2301153518","Không tồn tại / Lỗi tra cứu"
"12","Không tìm thấy","0100237411","Không tồn tại / Lỗi tra cứu"
"13","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300998287","Không tồn tại / Lỗi tra cứu"
"15","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động"
"16","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu"
"17","CÔNG TY CỔ PHẦN MISA","0101243150","Đang hoạt động"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"19","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TRAN DUONG FORKLIFTS","0108431890","Đang hoạt động"
"20","CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TÂN KHẢI PHÚ","0311072367","Đang hoạt động"
"21","Không tìm thấy","0107616419","Không tồn tại / Lỗi tra cứu"
"22","CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH","0303217354-001","Đang hoạt động"
"23","Không tìm thấy","0302588268","Không tồn tại / Lỗi tra cứu"
"24","Không tìm thấy","0102385623-057","Không tồn tại / Lỗi tra cứu"
"25","Không tìm thấy","0104912402","Không tồn tại / Lỗi tra cứu"
"26","Không tìm thấy","0303177976","Không tồn tại / Lỗi tra cứu"
"27","Không tìm thấy","0314446814","Không tồn tại / Lỗi tra cứu"
"28","Không tìm thấy","0100150619-077","Không tồn tại / Lỗi tra cứu"
"29","Không tìm thấy","0106869738-002","Không tồn tại / Lỗi tra cứu"
"30","Không tìm thấy","0101566426","Không tồn tại / Lỗi tra cứu"
"31","Không tìm thấy","3600668186","Không tồn tại / Lỗi tra cứu"
"32","Không tìm thấy","2301081870","Không tồn tại / Lỗi tra cứu"
"33","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"34","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"35","Không tìm thấy","0105886603","Không tồn tại / Lỗi tra cứu"
"36","Không tìm thấy","2300945951","Không tồn tại / Lỗi tra cứu"
"37","Không tìm thấy","0302077030-002","Không tồn tại / Lỗi tra cứu"
"38","Không tìm thấy","0104805312","Không tồn tại / Lỗi tra cứu"
"39","Không tìm thấy","0105255220","Không tồn tại / Lỗi tra cứu"
"40","Không tìm thấy","0106382510","Không tồn tại / Lỗi tra cứu"
"41","Không tìm thấy","0108967850","Không tồn tại / Lỗi tra cứu"
"42","Không tìm thấy","0103420630","Không tồn tại / Lỗi tra cứu"
"43","Không tìm thấy","0100235358","Không tồn tại / Lỗi tra cứu"
"44","Không tìm thấy","0100107564-001","Không tồn tại / Lỗi tra cứu"
"45","Không tìm thấy","0107779847","Không tồn tại / Lỗi tra cứu"
"46","Không tìm thấy","0105867262","Không tồn tại / Lỗi tra cứu"
"47","Không tìm thấy","0102737963-012","Không tồn tại / Lỗi tra cứu"
"48","Không tìm thấy","0102721191-068","Không tồn tại / Lỗi tra cứu"
"49","Không tìm thấy","0308113486","Không tồn tại / Lỗi tra cứu"
"50","Không tìm thấy","0104050365","Không tồn tại / Lỗi tra cứu"
"51","CÔNG TY TNHH BAO BÌ THẢO VIỆT","1101272587","Đang hoạt động"
"52","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH VẠN PHÚC HÀ NỘI","0100150619-186","Đang hoạt động"
"53","CHI NHÁNH 3 - CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI TÂN VIỆT SINH","1100719199-003","Đang hoạt động"
"54","Không tìm thấy","0900554265","Không tồn tại / Lỗi tra cứu"
"55","Không tìm thấy","0500238177","Không tồn tại / Lỗi tra cứu"
"56","Công ty Cổ phần Tập đoàn bảo hiểm DBV – Chi nhánh Nam Việt","0102737963-010","Đang hoạt động"
"57","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ HOÀNG PHÚC","0109929294","Đang hoạt động"
"58","CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN","0101300842","Đang hoạt động"
"59","Không tìm thấy","0101079327","Không tồn tại / Lỗi tra cứu"
"60","Không tìm thấy","0310762079","Không tồn tại / Lỗi tra cứu"
"61","CÔNG TY CỔ PHẦN THIẾT BỊ ĐO LƯỜNG ĐÔNG ĐÔ","0102258103","Đang hoạt động"
"62","Không tìm thấy","0109299941","Không tồn tại / Lỗi tra cứu"
"63","Không tìm thấy","0107571302","Không tồn tại / Lỗi tra cứu"
"64","Không tìm thấy","0105969306","Không tồn tại / Lỗi tra cứu"
"65","CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG ALPHA","0101214914","Đang hoạt động"
"66","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG","0105992390","Đang hoạt động"
"67","CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI XE NÂNG ĐỨC CHUNG","0107950276","Đang hoạt động"
"68","Không tìm thấy","0101335193-029","Không tồn tại / Lỗi tra cứu"
"69","Không tìm thấy","0108240254","Không tồn tại / Lỗi tra cứu"
"70","Không tìm thấy","0900270665","Không tồn tại / Lỗi tra cứu"
"71","CÔNG TY XĂNG DẦU HÀ SƠN BÌNH - CÔNG TY TNHH MỘT THÀNH VIÊN","0500232954","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"72","CÔNG TY TNHH DIC (VIỆT NAM)","3700626944","Đang hoạt động"
"73","Không tìm thấy","0107963571","Không tồn tại / Lỗi tra cứu"
"74","CÔNG TY TNHH HSIN MEI KUANG (VN)","3700371100","Đang hoạt động"
"75","CÔNG TY CỔ PHẦN KINH DOANH THIẾT BỊ ĐO LƯỜNG","0106597837","Đang hoạt động"
"76","Không tìm thấy","0314527622","Không tồn tại / Lỗi tra cứu"
"77","Không tìm thấy","0108075931","Không tồn tại / Lỗi tra cứu"
"78","Không tìm thấy","0900254328","Không tồn tại / Lỗi tra cứu"
"79","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"80","CÔNG TY TNHH THĂNG LONG PLASTIC","0109576338","Đang hoạt động"
"81","Không tìm thấy","0100107564","Không tồn tại / Lỗi tra cứu"
"82","Không tìm thấy","0303539425","Không tồn tại / Lỗi tra cứu"
"83","CHI NHÁNH CÔNG TY CỔ PHẦN BAO BÌ VÀ IN NÔNG NGHIỆP TẠI HƯNG YÊN","0101508664-002","Đang hoạt động"
"84","CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ ĐỊNH GIÁ EQ - HÀ NỘI","0101904467","Đang hoạt động"
"85","Không tìm thấy","0305723148","Không tồn tại / Lỗi tra cứu"
"86","Không tìm thấy","2500726308","Không tồn tại / Lỗi tra cứu"
"87","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM- CHI NHÁNH CHÍ LINH","0100112437-172","Đang hoạt động"
"88","CÔNG TY CỔ PHẦN EPIC VIỆT NAM","0101744118","Đang hoạt động"
"89","Không tìm thấy","0101365991","Không tồn tại / Lỗi tra cứu"
"90","Không tìm thấy","0305992006","Không tồn tại / Lỗi tra cứu"
"91","Không tìm thấy","0109570209","Không tồn tại / Lỗi tra cứu"
"92","CHI NHÁNH CÔNG TY CỔ PHẦN BẢO HIỂM PETROLIMEX HẢI DƯƠNG","0100110768-030","Đang hoạt động"
"93","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ BÌNH KHÁNH","0302202210","Đang hoạt động"
"94","Không tìm thấy","0108314202","Không tồn tại / Lỗi tra cứu"
"95","Không tìm thấy","0100101114-042","Không tồn tại / Lỗi tra cứu"
"96","Không tìm thấy","2300243293","Không tồn tại / Lỗi tra cứu"
"97","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - KỸ THUẬT TOÀN ẤN","0303075477","Đang hoạt động"
"98","CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAKATA INX VIỆT NAM TẠI BẮC NINH","0303177976-003","Đang hoạt động"
"99","Không tìm thấy","0315766687","Không tồn tại / Lỗi tra cứu"
"100","Không tìm thấy","0314385985","Không tồn tại / Lỗi tra cứu"
